shops,ratings,userids
hustle-co-singapore,5.0,532
hustle-co-singapore,5.0,1397
hustle-co-singapore,5.0,2073
hustle-co-singapore,5.0,2043
benjamin-barker-cafe-singapore,4.0,2141
benjamin-barker-cafe-singapore,4.0,2043
the-coffee-roaster-singapore-2,3.0,2097
the-coffee-roaster-singapore-2,3.0,2043
koi-cafe-singapore,5.0,2043
starbucks-singapore-21,4.0,26
starbucks-singapore-21,4.0,2043
eaglewings-loft-singapore,4.0,91
eaglewings-loft-singapore,4.0,2043
killiney-kopitiam-singapore-11,5.0,2043
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,306
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,2043
platform-1094-singapore,5.0,1667
platform-1094-singapore,5.0,1722
platform-1094-singapore,5.0,2043
nanyang-old-coffee-singapore-7,3.0,2043
tai-cheong-bakery-singapore-2,5.0,306
tai-cheong-bakery-singapore-2,5.0,2043
hoshino-coffee-singapore-2,4.0,18
hoshino-coffee-singapore-2,4.0,2043
arteastiq-singapore-3,4.0,2068
arteastiq-singapore-3,4.0,2043
hollin-singapore,5.0,2043
black-fairy-coffee-singapore,4.0,1222
black-fairy-coffee-singapore,4.0,2043
fabcafe-singapore,4.0,2043
ten-cafe-singapore,4.0,2043
olivia-and-co-singapore-2,4.0,2043
ibake-singapore,3.0,2043
40-hands-singapore,4.0,2068
40-hands-singapore,4.0,18
40-hands-singapore,4.0,665
40-hands-singapore,4.0,1868
40-hands-singapore,4.0,27
40-hands-singapore,4.0,1213
40-hands-singapore,4.0,1544
40-hands-singapore,4.0,2237
40-hands-singapore,4.0,1667
40-hands-singapore,4.0,2044
40-hands-singapore,4.0,2061
40-hands-singapore,4.0,1274
40-hands-singapore,4.0,376
40-hands-singapore,4.0,57
40-hands-singapore,4.0,2271
40-hands-singapore,4.0,1902
40-hands-singapore,4.0,488
40-hands-singapore,4.0,1880
40-hands-singapore,4.0,209
40-hands-singapore,4.0,1777
40-hands-singapore,4.0,2043
duke-bakery-singapore,4.0,115
duke-bakery-singapore,4.0,2043
toast-box-esplanade-singapore,4.0,2043
ping-kee-popiah-singapore,5.0,2043
common-man-stan-singapore,5.0,2479
common-man-stan-singapore,5.0,306
common-man-stan-singapore,5.0,1397
common-man-stan-singapore,5.0,665
common-man-stan-singapore,5.0,1057
common-man-stan-singapore,5.0,2043
s-city-cafe-singapore,4.0,2043
old-town-white-coffee-singapore-15,1.0,2043
mellower-coffee-singapore-3,5.0,2043
reload-singapore,5.0,2340
reload-singapore,5.0,2043
trung-nguyen-cafe-downtown-core,4.0,2043
toms-palette-singapore,5.0,1542
toms-palette-singapore,5.0,1123
toms-palette-singapore,5.0,115
toms-palette-singapore,5.0,1051
toms-palette-singapore,5.0,2163
toms-palette-singapore,5.0,27
toms-palette-singapore,5.0,2097
toms-palette-singapore,5.0,2445
toms-palette-singapore,5.0,1293
toms-palette-singapore,5.0,809
toms-palette-singapore,5.0,128
toms-palette-singapore,5.0,671
toms-palette-singapore,5.0,1902
toms-palette-singapore,5.0,898
toms-palette-singapore,5.0,1882
toms-palette-singapore,5.0,1274
toms-palette-singapore,5.0,2340
toms-palette-singapore,5.0,376
toms-palette-singapore,5.0,1368
toms-palette-singapore,5.0,57
toms-palette-singapore,5.0,2043
long-black-cafe-singapore,4.0,675
long-black-cafe-singapore,4.0,789
long-black-cafe-singapore,4.0,2445
long-black-cafe-singapore,4.0,2043
fun-toast-singapore-10,5.0,241
fun-toast-singapore-10,5.0,2043
bakerzin-united-square-singapore,4.0,2043
the-tiny-roaster-120106,5.0,27
the-tiny-roaster-120106,5.0,2237
the-tiny-roaster-120106,5.0,2043
brew-maison-singapore,3.0,2043
stamping-ground-singapore,4.0,2237
stamping-ground-singapore,4.0,2043
ya-kun-kaya-toast-singapore-40,5.0,2043
吃-western-singapore,4.0,2262
吃-western-singapore,4.0,2043
boyles-coffee-x-cold-brew-bar-singapore,5.0,2043
cedele-singapore-9,3.0,987
cedele-singapore-9,3.0,2061
cedele-singapore-9,3.0,2043
boufe-boutique-cafe-singapore,5.0,1722
boufe-boutique-cafe-singapore,5.0,2218
boufe-boutique-cafe-singapore,5.0,1475
boufe-boutique-cafe-singapore,5.0,1123
boufe-boutique-cafe-singapore,5.0,2043
the-coffee-bean-and-tea-leaf-singapore-53,4.0,2043
common-man-coffee-roasters-singapore,4.0,2303
common-man-coffee-roasters-singapore,4.0,2479
common-man-coffee-roasters-singapore,4.0,2237
common-man-coffee-roasters-singapore,4.0,306
common-man-coffee-roasters-singapore,4.0,1475
common-man-coffee-roasters-singapore,4.0,23
common-man-coffee-roasters-singapore,4.0,1970
common-man-coffee-roasters-singapore,4.0,2493
common-man-coffee-roasters-singapore,4.0,152
common-man-coffee-roasters-singapore,4.0,1022
common-man-coffee-roasters-singapore,4.0,1293
common-man-coffee-roasters-singapore,4.0,407
common-man-coffee-roasters-singapore,4.0,1160
common-man-coffee-roasters-singapore,4.0,186
common-man-coffee-roasters-singapore,4.0,225
common-man-coffee-roasters-singapore,4.0,2043
orchard3sixty-singapore,5.0,2043
coftea-marine-parade-market-and-food-centre-singapore,5.0,2043
tanjong-rhu-pau-singapore-2,5.0,713
tanjong-rhu-pau-singapore-2,5.0,809
tanjong-rhu-pau-singapore-2,5.0,2043
ya-kun-kaya-toast-singapore-48,5.0,2043
asanoya-boulangerie-bukit-timah-singapore,4.0,2043
okada-coffee-singapore,5.0,1779
okada-coffee-singapore,5.0,1602
okada-coffee-singapore,5.0,152
okada-coffee-singapore,5.0,2043
memo-café-singapore,4.0,23
memo-café-singapore,4.0,2043
dolcetto-by-basilico-singapore,5.0,1602
dolcetto-by-basilico-singapore,5.0,1022
dolcetto-by-basilico-singapore,5.0,2043
muffinman-singapore,4.0,2043
soi-55-singapore-2,4.0,1475
soi-55-singapore-2,4.0,2043
flee-away-cafe-singapore,4.0,1075
flee-away-cafe-singapore,4.0,2043
one-man-coffee-singapore,5.0,2479
one-man-coffee-singapore,5.0,91
one-man-coffee-singapore,5.0,27
one-man-coffee-singapore,5.0,75
one-man-coffee-singapore,5.0,2237
one-man-coffee-singapore,5.0,186
one-man-coffee-singapore,5.0,949
one-man-coffee-singapore,5.0,2043
the-new-black-singapore-2,5.0,2237
the-new-black-singapore-2,5.0,2043
hoshino-coffee-singapore-6,5.0,2097
hoshino-coffee-singapore-6,5.0,2043
starbucks-singapore-140,5.0,2043
hoopla-singapore,5.0,306
hoopla-singapore,5.0,2043
saladstop-singapore-2,5.0,1359
saladstop-singapore-2,5.0,2043
starbucks-singapore-43,5.0,2043
starbucks-singapore-158,3.0,2043
seed-and-soil-singapore,5.0,91
seed-and-soil-singapore,5.0,2043
toast-box-singapore-63,4.0,18
toast-box-singapore-63,4.0,2540
toast-box-singapore-63,4.0,2043
butterknife-folk-singapore,5.0,2068
butterknife-folk-singapore,5.0,2043
cow-palace-restaurant-and-cafe-singapore,4.0,2043
fine-cuts-singapore,4.0,2043
toast-box-singapore-18,5.0,1868
toast-box-singapore-18,5.0,2043
hai-sing-coffee-stall-singapore,3.0,2043
old-town-white-coffee-singapore-8,3.0,2061
old-town-white-coffee-singapore-8,3.0,115
old-town-white-coffee-singapore-8,3.0,2043
jew-kit-hainanese-chicken-rice-singapore,4.0,2043
the-coffee-bean-and-tea-leaf-singapore-23,4.0,1276
the-coffee-bean-and-tea-leaf-singapore-23,4.0,2043
hup-choon-eating-house-singapore-2,5.0,753
hup-choon-eating-house-singapore-2,5.0,2043
laurent-bernard-chocolatier-singapore,5.0,1602
laurent-bernard-chocolatier-singapore,5.0,2044
laurent-bernard-chocolatier-singapore,5.0,1274
laurent-bernard-chocolatier-singapore,5.0,26
laurent-bernard-chocolatier-singapore,5.0,570
laurent-bernard-chocolatier-singapore,5.0,2377
laurent-bernard-chocolatier-singapore,5.0,220
laurent-bernard-chocolatier-singapore,5.0,2473
laurent-bernard-chocolatier-singapore,5.0,2043
starbucks-singapore-49,4.0,2043
societe-canteen-singapore,3.0,2043
arabica-singapore-3,5.0,2043
toast-box-singapore-54,5.0,2043
group-therapy-coffee-singapore,4.0,186
group-therapy-coffee-singapore,4.0,306
group-therapy-coffee-singapore,4.0,27
group-therapy-coffee-singapore,4.0,225
group-therapy-coffee-singapore,4.0,1970
group-therapy-coffee-singapore,4.0,1667
group-therapy-coffee-singapore,4.0,209
group-therapy-coffee-singapore,4.0,198
group-therapy-coffee-singapore,4.0,2540
group-therapy-coffee-singapore,4.0,970
group-therapy-coffee-singapore,4.0,713
group-therapy-coffee-singapore,4.0,2303
group-therapy-coffee-singapore,4.0,898
group-therapy-coffee-singapore,4.0,987
group-therapy-coffee-singapore,4.0,2271
group-therapy-coffee-singapore,4.0,2473
group-therapy-coffee-singapore,4.0,2043
hg-106-coffeeshop-singapore,5.0,2043
mob-cafe-singapore,5.0,2043
the-coffee-bean-and-tea-leaf-singapore-54,3.0,2043
omb-singapore-2,3.0,1123
omb-singapore-2,3.0,2043
d-good-cafe-singapore,4.0,186
d-good-cafe-singapore,4.0,665
d-good-cafe-singapore,4.0,306
d-good-cafe-singapore,4.0,2097
d-good-cafe-singapore,4.0,1075
d-good-cafe-singapore,4.0,27
d-good-cafe-singapore,4.0,105
d-good-cafe-singapore,4.0,1412
d-good-cafe-singapore,4.0,2043
spize-singapore-2,5.0,1075
spize-singapore-2,5.0,23
spize-singapore-2,5.0,581
spize-singapore-2,5.0,164
spize-singapore-2,5.0,1276
