shops,ratings,userids,shops_index,userids_index
the-royals-cafe-singapore,5.0,2350,143.0,15.0
bread-and-hearth-singapore,5.0,1075,90.0,10.0
penny-university-singapore,4.0,1989,22.0,35.0
revelry-singapore,5.0,322,166.0,86.0
two-men-bagel-house-singapore-4,5.0,2043,175.0,0.0
hollin-singapore,5.0,2043,728.0,0.0
penny-university-singapore,4.0,2192,22.0,77.0
hoshino-coffee-singapore,4.0,2479,45.0,7.0
tiong-bahru-bakery-singapore-4,5.0,2043,6.0,0.0
da-paolo-gastronomia-bukit-timah-bukit-timah,4.0,1777,71.0,36.0
waterfall-cafe-singapore,5.0,328,163.0,48.0
the-garden-slug-singapore,4.0,241,145.0,101.0
toms-palette-singapore,5.0,1902,4.0,55.0
the-aftertaste-singapore-2,5.0,2043,772.0,0.0
wanna-cuppa-singapore,5.0,1022,245.0,66.0
3838-eating-place-singapore,5.0,2043,945.0,0.0
tiong-bahru-bakery-singapore-4,5.0,1026,6.0,54.0
curious-palette-singapore,4.0,23,111.0,17.0
kith-cafe-singapore,4.0,488,26.0,24.0
open-farm-community-singapore,5.0,992,27.0,98.0
crossings-cafe-singapore,5.0,27,89.0,11.0
bobs-bar-singapore,5.0,2043,369.0,0.0
the-new-black-singapore-2,5.0,2043,366.0,0.0
rayz-bistro-singapore,5.0,2043,693.0,0.0
sam-yat-coffee-singapore,5.0,2043,251.0,0.0
kith-cafe-singapore,4.0,1412,26.0,22.0
brawn-and-brains-coffee-singapore,5.0,1585,29.0,13.0
o-coffee-club-singapore-5,4.0,2043,485.0,0.0
caffe-beviamo-tanglin-mall-singapore,5.0,1026,108.0,54.0
the-coffee-bean-and-tea-leaf-singapore-21,4.0,2043,140.0,0.0
artisan-boulangerie-co-singapore,4.0,1293,112.0,63.0
jab-bistro-bar-downtown-core-2,5.0,1877,403.0,61.0
the-bao-makers-singapore,4.0,2061,118.0,4.0
gallery-cafe-singapore,3.0,2043,880.0,0.0
jewel-coffee-singapore-8,5.0,2218,78.0,71.0
bread-yard-singapore-2,4.0,2043,114.0,0.0
brawn-and-brains-coffee-singapore,5.0,2474,29.0,107.0
the-coffee-academics-singapore-3,4.0,2043,404.0,0.0
d-good-cafe-singapore,4.0,2097,62.0,33.0
stamping-ground-singapore,4.0,2043,501.0,0.0
ps-cafe-singapore-8,4.0,581,55.0,53.0
the-coffee-nations-singapore,3.0,2043,618.0,0.0
mama-patisserie-singapore,4.0,987,124.0,100.0
gloria-jeans-coffees-singapore-5,3.0,2043,754.0,0.0
the-populus-coffee-and-food-co-singapore,5.0,532,25.0,50.0
tai-chong-coffee-stall-singapore,4.0,2043,488.0,0.0
mama-patisserie-singapore,4.0,671,124.0,80.0
the-assembly-ground-singapore,4.0,2043,53.0,0.0
cafe-melba-singapore,4.0,376,42.0,31.0
chulove-cafe-singapore,3.0,2043,515.0,0.0
kotobuki-coffee-singapore-2,4.0,2043,468.0,0.0
coffeemin-singapore,4.0,2043,913.0,0.0
flor-patisserie-singapore,5.0,23,36.0,17.0
food-for-thought-singapore,4.0,2262,20.0,40.0
nanyang-old-coffee-singapore-6,5.0,1051,480.0,5.0
pasarbella-singapore,4.0,198,132.0,9.0
icebox-cafe-singapore,4.0,2043,898.0,0.0
killiney-kopitiam-singapore-4,5.0,949,69.0,97.0
butterknife-folk-singapore,5.0,2068,337.0,45.0
2am-dessert-bar-singapore,5.0,1213,30.0,94.0
drury-lane-singapore,4.0,1194,56.0,72.0
commune-singapore,5.0,2340,158.0,91.0
lee-siau-ling-cafe-singapore,5.0,2043,834.0,0.0
two-men-bagel-house-singapore,5.0,2061,12.0,4.0
tolidos-espresso-nook-singapore-3,5.0,1123,35.0,19.0
starbucks-singapore-52,3.0,2043,573.0,0.0
wild-honey-singapore,4.0,1075,5.0,10.0
sprmrkt-singapore-4,4.0,186,324.0,3.0
maison-kayser-singapore,5.0,970,117.0,74.0
pâtisserie-glacé-singapore-4,4.0,2043,340.0,0.0
all-in-singapore,5.0,2043,372.0,0.0
avenue-cafe-singapore,3.0,23,316.0,17.0
lana-cake-singapore-3,5.0,220,65.0,105.0
sunday-folks-singapore,5.0,91,38.0,2.0
arabica-singapore-3,5.0,2043,963.0,0.0
tong-heng-singapore-3,5.0,1051,51.0,5.0
creamier-singapore,5.0,675,16.0,6.0
marina-food-court-singapore,5.0,2043,795.0,0.0
beanstro-singapore,3.0,2043,230.0,0.0
one-man-coffee-singapore,5.0,2043,72.0,0.0
flock-café-singapore,5.0,164,37.0,47.0
fun-toast-singapore,5.0,1637,297.0,88.0
ps-cafe-singapore-8,4.0,1777,55.0,36.0
empire-cafe-singapore,5.0,2043,368.0,0.0
bread-and-hearth-singapore-2,3.0,2043,262.0,0.0
jewel-coffee-at-millenia-walk-singapore,4.0,2043,279.0,0.0
